Key,English(en),Korean(ko)
"FA_HackGun1_Name","Flame Arrester","소염기"
"FA_HackGun1_Desc","Reduces vertical recoil by 10% and suppresses muzzle flash.","수직 반동을 10% 감소시키고, 총구 화염을 줄여줍니다."
"Sight_HackGun2_Name","Scope","스코프"
"Sight_HackGun2_Desc","A sight that allows you to aim accurately at distant targets.","멀리 있는 목표를 정확하게 조준할 수 있도록 도와주는 조준기입니다."
"ExtendedMag_Pistol1_Name","ExtendedMag","대용량 탄창"
"ExtendedMag_Pistol1_Desc","Allows you to carry more rounds than a standard magazine.","기본 탄창보다 더 많은 탄약을 장전할 수 있습니다."
"Sight_Pistol1_Name","Scope","스코프"
"Sight_Pistol1_Desc","A sight that allows you to aim accurately at distant targets.","멀리 있는 목표를 정확하게 조준할 수 있도록 도와주는 조준기입니다."
"Silencer_Pistol1_Name","Silencer","소음기"
"Silencer_Pistol1_Desc","A device that reduces the sound of gunfire when attached to a weapon.","총기 사격 시 발생하는 소음을 줄여주는 장비입니다."
"ExtendedMag_Rifle_Name","ExtendedMag","대용량 탄창"
"ExtendedMag_Rifle_Desc","Allows you to carry more rounds than a standard magazine.","기본 탄창보다 더 많은 탄약을 장전할 수 있습니다."
"FA_Rifle1_Name","Flame Arrester","소염기"
"FA_Rifle1_Desc","Reduces vertical recoil by 10% and suppresses muzzle flash.","수직 반동을 10% 감소시키고, 총구 화염을 줄여줍니다."
"Sight_Rifle1_Name","Scope_1","스코프_1"
"Sight_Rifle1_Desc","A sight that allows you to aim accurately at distant targets.","멀리 있는 목표를 정확하게 조준할 수 있도록 도와주는 조준기입니다."
"Sight_Rifle2_Name","Scope_2","스코프_2"
"Sight_Rifle2_Desc","A sight that allows you to aim accurately at distant targets.","멀리 있는 목표를 정확하게 조준할 수 있도록 도와주는 조준기입니다."
"Silencer_Rifle1_Name","Silencer","소음기"
"Silencer_Rifle1_Desc","A device that reduces the sound of gunfire when attached to a weapon.","총기 사격 시 발생하는 소음을 줄여주는 장비입니다."
"Suppressor_Rifle1_Name","Suppressor","보정기"
"Suppressor_Rifle1_Desc","Reduces vertical recoil by 20%.","수직 반동을 20% 감소시켜 줍니다."
"EnergyBar_Name","EnergyBar","에너지바"
"EnergyBar_Desc","Increases stamina.","스테미너를 올립니다."
"Medkit_Name","Medkit","메디킷"
"Medkit_Desc","Restores some health.","체력을 일정 수준 회복합니다."
"NanoAmple_Name","NanoAmple","나노앰플"
"NanoAmple_Desc","Fully restores health.","체력을 전부 회복합니다."
"Sheild_Name","Sheild","쉴드"
"Sheild_Desc","Restores shield.","쉴드를 회복합니다."
"FailSelect_Key","You can't select this item.","이 아이템을 선택할 수 없습니다."
"FailUse_Key","You can't use this item.","이 아이템을 사용할 수 없습니다."
